"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\guards\auth-guard.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\guards\auth-guard.guard.ts", "TypeScript", 38, 0, 0, 5, 7, 50
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\auth-session.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\auth-session.service.ts", "TypeScript", 21, 0, 0, 0, 9, 30
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\employee.service.spec.ts", "TypeScript", 15, 0, 0, 0, 6, 21
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\employee.service.ts", "TypeScript", 40, 0, 0, 0, 15, 55
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\profile.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\profile.service.ts", "TypeScript", 27, 0, 0, 0, 12, 39
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\user.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\services\user.service.ts", "TypeScript", 30, 0, 0, 0, 11, 41
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\environments\environment.prod.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\environments\environment.ts", "TypeScript", 4, 0, 0, 11, 3, 18
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\index.html", "HTML", 0, 0, 13, 0, 1, 14
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\main.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\polyfills.ts", "TypeScript", 5, 0, 0, 57, 6, 68
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\styles.css", "CSS", 0, 0, 0, 1, 1, 2
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\test.ts", "TypeScript", 18, 0, 0, 4, 4, 26
"Total", "-", 1809, 473, 404, 194, 810, 3690
